ACCOUNT ID,ACCOUNTNAME,SALES REP,CATEGORY 2022,CLICKTAG,Address,CITY,Version
9012779,TEGEL CONCEPT OVERIJSE HQ,Frank De Langhe,Concept Store,https://partners.quick-step.com/nl-BE/tegel-concept-overijse-hq,"BRUSSELSESTEENWEG 319
3090 OVERIJSE",OVERIJSE,FR
9010741,LA BOISERIE SA,Géry Bakutu,Concept Store,https://partners.quick-step.com/fr-BE/la-boiserie-sa,"Rte de Mons 503, 7131 Waudrez",WAUDREZ,FR
9012203,RENARD JOS,Géry Bakutu,Concept Store,https://partners.quick-step.com/nl-be/renard-jos-anc-sa-nv,"RUE LOUIS MARECHAL 99 A
4360 OREYE",OREYE,FR
9029631,SA RULOT HOME DECORATION,Géry Bakutu,Concept Store,https://partners.quick-step.com/fr-BE/sa-rulot-home-decoration,"Rue du Montys 18, 4557 Tinlot",TINLOT,FR
